#name R sigma feh_zw84 feh_gc97 hb_type
IC4499  1.351 0.302 -1.50 -1.27  0.11
NGC104  1.607 0.157 -0.71 -0.70 -0.99
NGC362  1.358 0.193 -1.27 -1.15 -0.87
NGC1261 1.208 0.170 -1.31 -1.10 -0.71
NGC1851 1.457 0.163 -1.36 -1.14 -0.36
NGC1904 2.055 0.251 -1.69 -1.37  0.89
NGC2808 1.598 0.139 -1.37 -1.15 -0.49
NGC3201 1.136 0.319 -1.37 -1.15  0.08
NGC4147 1.767 0.408 -1.80 -1.59  0.55
NGC4372 1.111 0.366 -2.08 -1.94  1.00
NGC4590 0.854 0.200 -2.09 -1.99  0.17
NGC4833 2.189 0.405 -1.86 -1.58  0.93
NGC5024 1.477 0.159 -2.04 -1.89  0.81
NGC5634 1.433 0.184 -1.82 -1.61  0.91
NGC5694 1.537 0.167 -1.92 -1.73  1.00
NGC5824 1.415 0.092 -1.87 -1.67  0.79
NGC5904 1.199 0.146 -1.40 -1.11  0.31
NGC5927 1.561 0.199 -0.30 -0.62 -1.00
NGC5946 1.321 0.171 -1.37 -1.15  0.71
NGC5986 1.423 0.144 -1.67 -1.44  0.97
NGC6093 1.031 0.144 -1.67 -1.44  0.97
NGC6139 1.244 0.121 -1.65 -1.42  0.91
NGC6171 1.560 0.432 -0.99 -0.87 -0.73
NGC6205 1.719 0.197 -1.65 -1.39  0.97
NGC6218 1.366 0.292 -1.61 -1.37  0.97
NGC6229 1.485 0.140 -1.54 -1.30  0.24
NGC6235 0.949 0.218 -1.40 -1.17  0.89
NGC6266 1.662 0.153 -1.28 -1.07  0.32
NGC6273 1.554 0.136 -1.68 -1.45  0.97
NGC6284 1.210 0.157 -1.40 -1.17  0.83
NGC6287 1.519 0.273 -2.05 -1.90  0.98
NGC6293 1.351 0.190 -1.92 -1.73  0.90
NGC6304 1.818 0.306 -0.59 -0.68 -1.00
NGC6342 1.771 0.375 -0.62 -0.69 -1.00
NGC6356 1.658 0.153 -0.62 -0.69 -1.00
NGC6362 1.429 0.367 -1.08 -0.96 -0.58
NGC6388 2.130 0.121 -0.74 -0.74 -0.67
NGC6441 1.854 0.113 -0.59 -0.68 -0.78
NGC6522 1.183 0.159 -1.44 -1.21  0.71
NGC6544 1.500 0.395 -1.56 -1.32  1.00
NGC6569 1.547 0.202 -0.86 -0.80 -0.76
NGC6584 1.217 0.235 -1.54 -1.30 -0.15
NGC6624 1.605 0.243 -0.35 -0.63 -1.00
NGC6637 2.060 1.172 -0.59 -0.69 -1.00
NGC6638 1.228 0.186 -1.15 -0.97 -0.30
NGC6642 1.319 0.265 -1.29 -1.08  0.29
NGC6652 1.512 0.309 -0.89 -0.81 -1.00
NGC6681 1.755 0.283 -1.51 -1.27  0.96
NGC6717 0.722 0.267 -1.32 -1.10  0.98
NGC6723 2.383 1.367 -1.09 -0.93 -0.08
NGC6760 1.244 0.145 -0.52 -0.66 -1.00
NGC6864 1.712 0.194 -1.32 -1.10 -0.07
NGC6934 1.621 0.218 -1.54 -1.30  0.25
NGC6981 1.088 0.205 -1.54 -1.30  0.14
NGC7078 1.883 0.175 -2.15 -2.12  0.67
NGC7089 1.455 0.183 -1.62 -1.39  0.96
NGC7099 2.667 0.531 -2.13 -1.91  0.89
